Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,3,0.31,0.9099999999999999,0.3565096591845343
75% Corpus,3,0.31,symmetric,0.3866232309410355
75% Corpus,3,0.61,0.01,0.35752693847819766
75% Corpus,3,0.61,0.31,0.37031792440520034
75% Corpus,3,0.61,0.61,0.37741520614058227
75% Corpus,3,0.61,0.9099999999999999,0.3429274208545883
75% Corpus,3,0.61,symmetric,0.37031792440520034
75% Corpus,3,0.9099999999999999,0.01,0.35752693847819766
75% Corpus,3,0.9099999999999999,0.31,0.3703179244052004
75% Corpus,3,0.9099999999999999,0.61,0.38558249235602293
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.343681754200221
75% Corpus,3,0.9099999999999999,symmetric,0.3703179244052004
75% Corpus,3,symmetric,0.01,0.35255096807572056
75% Corpus,3,symmetric,0.31,0.3866232309410355
75% Corpus,3,symmetric,0.61,0.3830875919687287
75% Corpus,3,symmetric,0.9099999999999999,0.3565096591845343
75% Corpus,3,symmetric,symmetric,0.3866232309410355
75% Corpus,3,asymmetric,0.01,0.36134935078905395
75% Corpus,3,asymmetric,0.31,0.3550443994403487
75% Corpus,3,asymmetric,0.61,0.3550443994403487
75% Corpus,3,asymmetric,0.9099999999999999,0.3889449635647157
75% Corpus,3,asymmetric,symmetric,0.35504439944034877
75% Corpus,4,0.01,0.01,0.44834693253238206
75% Corpus,4,0.01,0.31,0.4802256403236931
75% Corpus,4,0.01,0.61,0.5407901106963738
75% Corpus,4,0.01,0.9099999999999999,0.5658037513369012
75% Corpus,4,0.01,symmetric,0.4802256403236931
75% Corpus,4,0.31,0.01,0.4492718354417691
75% Corpus,4,0.31,0.31,0.4401254328833644
75% Corpus,4,0.31,0.61,0.5064285529705591
75% Corpus,4,0.31,0.9099999999999999,0.5654801720968282
75% Corpus,4,0.31,symmetric,0.4447737426566833
75% Corpus,4,0.61,0.01,0.45447067452067724
75% Corpus,4,0.61,0.31,0.4733466980687434
75% Corpus,4,0.61,0.61,0.5460407334807953
75% Corpus,4,0.61,0.9099999999999999,0.5363237809778517
75% Corpus,4,0.61,symmetric,0.44522733474879544
75% Corpus,4,0.9099999999999999,0.01,0.45447067452067724
75% Corpus,4,0.9099999999999999,0.31,0.47747777784161805
75% Corpus,4,0.9099999999999999,0.61,0.47469429202832414
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.5366324442307369
75% Corpus,4,0.9099999999999999,symmetric,0.47747777784161805
75% Corpus,4,symmetric,0.01,0.4492718354417691
75% Corpus,4,symmetric,0.31,0.4828907242816109
75% Corpus,4,symmetric,0.61,0.5039766467408222
75% Corpus,4,symmetric,0.9099999999999999,0.5654801720968281
75% Corpus,4,symmetric,symmetric,0.4401254328833644
75% Corpus,4,asymmetric,0.01,0.4492718354417691
75% Corpus,4,asymmetric,0.31,0.4508469558989021
75% Corpus,4,asymmetric,0.61,0.4701740463149183
75% Corpus,4,asymmetric,0.9099999999999999,0.5240044278042927
75% Corpus,4,asymmetric,symmetric,0.4508469558989021
75% Corpus,5,0.01,0.01,0.4126187959151614
75% Corpus,5,0.01,0.31,0.4000622697327036
75% Corpus,5,0.01,0.61,0.5047885727196444
75% Corpus,5,0.01,0.9099999999999999,0.5286488435572227
75% Corpus,5,0.01,symmetric,0.39231431531315425
75% Corpus,5,0.31,0.01,0.4077520090917505
75% Corpus,5,0.31,0.31,0.40803798429721533
75% Corpus,5,0.31,0.61,0.5031112220905152
